iso3,year,phys_inactive_pct
MHL,2012,30.4
MHL,2013,29.7
MHL,2014,29.0
MHL,2015,28.3
MHL,2016,27.7
MHL,2017,27.0
MHL,2018,26.5
MHL,2019,25.9
MKD,2010,23.3
MKD,2011,23.4
MKD,2012,23.6
MKD,2013,23.8
MKD,2014,24.0
MKD,2015,24.2
MKD,2016,24.5
MKD,2017,24.7
MKD,2018,25.0
MKD,2019,25.2
MLI,2010,33.9
MLI,2011,33.5
MLI,2012,33.1
MLI,2013,32.6
MLI,2014,32.2
MLI,2015,31.9
MLI,2016,31.5
MLI,2017,31.2
MLI,2018,30.9
MLI,2019,30.6
MLT,2010,49.2
MLT,2011,48.5
MLT,2012,47.7
MLT,2013,47.0
MLT,2014,46.3
MLT,2015,45.5
MLT,2016,44.8
MLT,2017,44.1
MLT,2018,43.4
MLT,2019,42.7
MMR,2010,21.5
MMR,2011,21.5
MMR,2012,21.5
MMR,2013,21.5
MMR,2014,21.5
MMR,2015,21.5
MMR,2016,21.6
MMR,2017,21.6
MMR,2018,21.7
MMR,2019,21.7
MNE,2010,20.5
MNE,2011,20.6
MNE,2012,20.7
MNE,2013,20.9
MNE,2014,21.0
MNE,2015,21.2
MNE,2016,21.4
MNE,2017,21.6
MNE,2018,21.8
MNE,2019,22.0
MNG,2010,14.4
MNG,2011,15.3
MNG,2012,16.2
MNG,2013,17.2
MNG,2014,18.2
MNG,2015,19.2
MNG,2016,20.3
MNG,2017,21.4
MNG,2018,22.6
MNG,2019,23.7
MOZ,2010,7.9
MOZ,2011,8.0
MOZ,2012,8.1
MOZ,2013,8.2
MOZ,2014,8.3
MOZ,2015,8.4
MOZ,2016,8.5
MOZ,2017,8.7
MOZ,2018,8.9
MOZ,2019,9.1
MRT,2010,51.3
MRT,2011,50.1
MRT,2012,49.0
MRT,2013,47.8
MRT,2014,46.7
MRT,2015,45.5
MRT,2016,44.4
MRT,2017,43.4
MRT,2018,42.3
MRT,2019,41.3
MUS,2010,28.2
MUS,2011,28.3
MUS,2012,28.4
MUS,2013,28.5
MUS,2014,28.6
MUS,2015,28.7
MUS,2016,28.8
MUS,2017,29.0
MUS,2018,29.1
MUS,2019,29.3
MWI,2010,7.4
MWI,2011,6.8
MWI,2012,6.2
MWI,2013,5.7
MWI,2014,5.3
MWI,2015,4.8
MWI,2016,4.4
MWI,2017,4.1
MWI,2018,3.7
MWI,2019,3.4
MYS,2010,41.0
MYS,2011,40.9
MYS,2012,40.8
MYS,2013,40.7
MYS,2014,40.6
MYS,2015,40.5
MYS,2016,40.4
MYS,2017,40.3
MYS,2018,40.2
MYS,2019,40.1
NAM,2010,31.8
NAM,2011,31.1
NAM,2012,30.5
NAM,2013,29.9
NAM,2014,29.3
NAM,2015,28.7
NAM,2016,28.2
NAM,2017,27.6
NAM,2018,27.1
NAM,2019,26.7
NER,2010,19.6
NER,2011,19.2
NER,2012,18.8
NER,2013,18.5
NER,2014,18.2
NER,2015,17.8
NER,2016,17.6
NER,2017,17.3
NER,2018,17.0
NER,2019,16.8
NGA,2010,19.8
NGA,2011,19.6
NGA,2012,19.4
NGA,2013,19.1
NGA,2014,18.9
NGA,2015,18.8
NGA,2016,18.6
NGA,2017,18.5
NGA,2018,18.3
NGA,2019,18.2
NIC,2010,34.4
NIC,2011,34.7
NIC,2012,35.1
NIC,2013,35.5
NIC,2014,35.8
NIC,2015,36.2
