iso3,year,life_expectancy
IMN,2010,79.613
IMN,2011,79.836
IMN,2012,80.007
IMN,2013,80.12
IMN,2014,80.199
IMN,2015,80.267
IMN,2016,80.391
IMN,2017,80.506
IMN,2018,80.614
IMN,2019,80.74
IND,2010,67.162
IND,2011,67.623
IND,2012,68.076
IND,2013,68.499
IND,2014,68.932
IND,2015,69.326
IND,2016,69.709
IND,2017,70.068
IND,2018,70.415
IND,2019,70.746
IRL,2010,80.7439024390244
IRL,2011,80.7463414634146
IRL,2012,80.8463414634146
IRL,2013,80.9487804878049
IRL,2014,81.3487804878049
IRL,2015,81.4536585365854
IRL,2016,81.6536585365854
IRL,2017,82.1560975609756
IRL,2018,82.2048780487805
IRL,2019,82.7024390243903
IRN,2010,74.39
IRN,2011,74.721
IRN,2012,75.039
IRN,2013,75.349
IRN,2014,75.635
IRN,2015,75.907
IRN,2016,76.155
IRN,2017,76.396
IRN,2018,76.621
IRN,2019,76.855
IRQ,2010,68.092
IRQ,2011,68.435
IRQ,2012,68.827
IRQ,2013,69.047
IRQ,2014,69.679
IRQ,2015,69.977
IRQ,2016,68.683
IRQ,2017,69.788
IRQ,2018,71.116
IRQ,2019,71.245
ISL,2010,81.8975609756097
ISL,2011,82.3585365853659
ISL,2012,82.9170731707317
ISL,2013,82.0609756097561
ISL,2014,82.8609756097561
ISL,2015,82.4682926829268
ISL,2016,82.2048780487805
ISL,2017,82.6609756097561
ISL,2018,82.8609756097561
ISL,2019,83.1634146341463
ISR,2010,81.6024390243903
ISR,2011,81.6560975609756
ISR,2012,81.7048780487805
ISR,2013,82.0560975609756
ISR,2014,82.1536585365854
ISR,2015,82.0512195121951
ISR,2016,82.4073170731707
ISR,2017,82.5512195121951
ISR,2018,82.8024390243903
ISR,2019,82.8048780487805
ITA,2010,82.0365853658537
ITA,2011,82.1878048780488
ITA,2012,82.2390243902439
ITA,2013,82.690243902439
ITA,2014,83.090243902439
ITA,2015,82.5439024390244
ITA,2016,83.2439024390244
ITA,2017,82.9463414634147
ITA,2018,83.3463414634146
ITA,2019,83.4975609756098
JAM,2010,71.979
JAM,2011,72.245
JAM,2012,72.405
JAM,2013,72.435
JAM,2014,72.357
JAM,2015,72.214
JAM,2016,72.052
JAM,2017,71.879
JAM,2018,71.606
JAM,2019,71.532
JOR,2010,73.797
JOR,2011,73.929
JOR,2012,74.087
JOR,2013,74.282
JOR,2014,74.606
JOR,2015,75.06
JOR,2016,75.55
JOR,2017,76.071
JOR,2018,76.491
JOR,2019,76.865
JPN,2010,82.8426829268293
JPN,2011,82.5912195121951
JPN,2012,83.0960975609756
JPN,2013,83.3319512195122
JPN,2014,83.5878048780488
JPN,2015,83.7939024390244
JPN,2016,83.9848780487805
JPN,2017,84.099756097561
JPN,2018,84.2109756097561
JPN,2019,84.3563414634146
KAZ,2010,68.257
KAZ,2011,69.108
KAZ,2012,69.939
KAZ,2013,70.719
KAZ,2014,71.415
KAZ,2015,72.024
KAZ,2016,72.549
KAZ,2017,72.996
KAZ,2018,73.369
KAZ,2019,73.658
KEN,2010,60.915
KEN,2011,61.283
KEN,2012,61.537
KEN,2013,61.729
KEN,2014,61.99
KEN,2015,62.279
KEN,2016,62.526
KEN,2017,62.725
KEN,2018,62.825
KEN,2019,62.939
KGZ,2010,69.3
KGZ,2011,69.6024390243903
KGZ,2012,70.0024390243902
KGZ,2013,70.2024390243902
KGZ,2014,70.4024390243902
KGZ,2015,70.6512195121951
KGZ,2016,70.9512195121951
KGZ,2017,71.2
KGZ,2018,71.4
KGZ,2019,71.6
KHM,2010,67.311
KHM,2011,67.869
KHM,2012,68.371
KHM,2013,68.755
KHM,2014,69.117
KHM,2015,69.398
KHM,2016,69.635
KHM,2017,69.842
KHM,2018,69.993
KHM,2019,70.127
KIR,2010,65.859
KIR,2011,65.896
KIR,2012,65.908
KIR,2013,65.898
KIR,2014,65.869
KIR,2015,65.831
KIR,2016,65.799
KIR,2017,65.787
KIR,2018,65.807
KIR,2019,65.866
KNA,2010,71.452
KNA,2011,71.4
KNA,2012,71.362
KNA,2013,71.29
KNA,2014,71.228
KNA,2015,71.211
KNA,2016,71.227
KNA,2017,71.284
